"","Prevalence.Estimate.Name","URL","Country.or.Area","Serosurvey.sample.size","Test.positive.size","Last.collection.day","Test.type","type_no","X","Denominator.Value","Serum.positive.prevalence","Sampling.End.Date","Test.Manufacturer"
"149","","","",NA,NA,"","",NA,NA,9388,"5.90%","2020년 7월 28일","EUROIMMUN AG"
"150","","","",NA,NA,"","",NA,NA,105829,"4.83%","2020년 8월 13일","Fortress Diagnostics"
"151","","","",NA,NA,"","",NA,NA,159367,"4.38%","2020년 9월 28일","Fortress Diagnostics"
"152","","","",NA,NA,"","",NA,NA,8764,"5.30%","2020년 8월 30일","EUROIMMUN AG"
"153","","","",NA,NA,"","",NA,NA,8230,"6.10%","2020년 9월 18일","EUROIMMUN AG"
"154","210111_UK_PublicHealthEngland_Round1_overall","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3764198","The United Kingdom",2198,300,"20.6.30.","Abbott Laboratories ; IgG ; CMIA",8,NA,2198,"13.60%","2020년 6월 15일","Abbott Laboratories"
"155","210111_UK_PublicHealthEngland_Round2_overall","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3764198","The United Kingdom",1431,173,"20.7.15.","Abbott Laboratories ; IgG ; CMIA",8,NA,1431,"12.10%","2020년 7월 21일","Abbott Laboratories"
"156","210115_UK_UKBiobank_Overall","https://www.ukbiobank.ac.uk/media/x0nd5sul/ukb_serologystudy_report_revised_6months_jan21.pdf","The United Kingdom",18893,1699,"20.12.04.","",NA,NA,18893,"8.99%","2020년 12월 4일",NA
"157","210225_England_ImperialCollegeLondon_Round4_overall_adj","https://www.medrxiv.org/content/10.1101/2021.02.26.21252512v1","The United Kingdom",161537,8431,"20.11.10.","",31,NA,161537,"5.56%","2020년 11월 10일","Fortress Diagnostics"
"158","","","",NA,NA,"","",NA,NA,NA,"","",""
"159","","","",NA,NA,"","",NA,NA,NA,"","",""
"160","210518_UK_UniversityCollegeLondon_overall","10.1101/2021.05.13.21257161","The United Kingdom",3761,436,"21.04.28.","",19,NA,3761,"11.59%","2021년 4월 28일","Roche Diagnostics"
"161","210502_England_ImperialCollegeLondon_TestPopAdj","https://dx.doi.org/10.1016/j.lanepe.2021.100098","The United Kingdom",365104,17576,"20.09.28.","",31,NA,365104,"4.94%","2020년 9월 28일","Fortress Diagnostics"
"162","210225_England_ImperialCollegeLondon_Round5_overall_Primary","https://www.medrxiv.org/content/10.1101/2021.02.26.21252512v1","The United Kingdom",155172,17179,"21.02.08.","",31,NA,155172,"13.90%","2021년 2월 8일","Fortress Diagnostics"
"163","210718_England_ImperialCollegeLondon_Round6","https://www.medrxiv.org/content/10.1101/2021.07.14.21260497v1","The United Kingdom",207337,126981,"21.05.25.","",31,NA,207337,"61.10%","2021년 5월 25일","Fortress Diagnostics"
"164","","","",NA,NA,"","",NA,NA,NA,"","",""
"165","200918_UnitedStates_Vitalant_Overall","https://www.medrxiv.org/content/10.1101/2020.09.17.20195131v1.full.pdf","United States of America",252882,4628,"20.7.31.","Ortho VITROS anti-SARS-CoV-2 Total Ig",35,NA,252882,"1.83%","2020년 7월 31일","Ortho Clinical Diagnostics Inc."
"166","","","",NA,NA,"","",NA,NA,NA,"","",""
"167","201004_USA_RedCross_genpop_unadj","https://aabb.confex.com/aabb/2020/meetingapp.cgi/Paper/8581","United States of America",573586,8588,"20.7.27.","",35,NA,573586,"1.50%","2020년 7월 27일","Ortho Clinical Diagnostics Inc."
"168","","","",NA,NA,"","",NA,NA,NA,"","",""
"169","","","",NA,NA,"","",NA,NA,NA,"","",""
"170","","","",NA,NA,"","",NA,NA,NA,"","",""
"171","","","",NA,NA,"","",NA,NA,NA,"","",""
"172","210216_USA_CityUniversityOfNewYork_overall_TestAdj","https://www.medrxiv.org/content/10.1101/2021.02.12.21251659v1","United States of America",4459,303,"21.01.15.","",NA,NA,4459,"6.30%","2021년 1월 15일","Bio-rad"
"173","210316_UnitedStates_ClinicalReferenceLaboratoryInc_OverallGenPop","https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2777502?utm_source=For_The_Media&utm_medium=referral&utm_campaign=ftm_links&utm_term=031621","United States of America",61910,4094,"20.09.30.","Roche ; Cobas Elecsys Anti-SARS-CoV-2 CLIA",19,NA,61910,"6.60%","2020년 9월 30일","Roche Diagnostics"
"174","","","",NA,NA,"","",NA,NA,NA,"","",""
"175","","","",NA,NA,"","",NA,NA,NA,"","",""
"176","","","",NA,NA,"","",NA,NA,NA,"","",""
"177","210519_UnitedStates_QuestDiagnostics","https://dx.doi.org/10.1001/jamanetworkopen.2021.11634","United States of America",18148,900,"20.11.15.","",NA,NA,18148,"5.00%","2020년 11월 15일","Ortho Clinical Diagnostics Inc.,Abbott Laboratories"
"178","","","",NA,NA,"","",NA,NA,NA,"","",""
"179","","","",NA,NA,"","",NA,NA,NA,"","",""
"180","210615_USA_JohnsHopkinsUniversity","https://dx.doi.org/10.1093/cid/ciab519","United States of America",24079,9,"20.03.09.","",5,NA,24079,"0.04%","2020년 3월 18일","Abbott Laboratories,EUROIMMUN AG"
"181","","","",NA,NA,"","",NA,NA,NA,"","",""
"182","210710_USA_EmoryUniversity_overall_PopAdj_TestAdj","https://dx.doi.org/10.1093/cid/ciab626","United States of America",4654,229,"20.12.08.","",NA,NA,4654,"4.71%","2020년 12월 8일","Bio-rad"
"183","210707_UnitedStates_NationalInstitutesOfHealth_Overall","http://dx.doi.org/10.1126/scitranslmed.abh3826","United States of America",8058,304,"20.08.04.","",NA,NA,8058,"4.60%","2020년 8월 4일",NA
"184","","","",NA,NA,"","",NA,NA,NA,"","",""
"185","","","",NA,NA,"","",NA,NA,NA,"","",""
"186","","","",NA,NA,"","",NA,NA,NA,"","",""
"187","210309_Zambia_ZambiaMinistryofHealth_overall","https://www.thelancet.com/journals/langlo/article/PIIS2214-109X(21)00053-X/fulltext","Zambia",2614,80,"20.07.27.","",NA,NA,2704,"2.10%","2020년 7월 27일","EUROIMMUN AG"
"188","200821_England_PHE_BloodDonor_GenPop_Overall_TestPopAdj_Week40","","The United Kingdom",8230,597,"20.9.18.","Euroimmun ; IgG ; ELISA-S",5,NA,NA,"","",""
"189","200821_England_PHE_BloodDonor_GenPop_Overall_TestPopAdj_Week39","","The United Kingdom",7888,484,"20.9.13.","Euroimmun ; IgG ; ELISA-S",5,NA,NA,"","",""
"190","200821_England_PHE_BloodDonor_GenPop_Overall_TestPopAdj_Week38","","The United Kingdom",7899,457,"20.9.6.","Euroimmun ; IgG ; ELISA-S",5,NA,NA,"","",""
"191","200821_England_PHE_BloodDonor_GenPop_Overall_TestPopAdj_Week37","","The United Kingdom",7857,446,"20.8.28.","Euroimmun ; IgG ; ELISA-S",5,NA,NA,"","",""
"192","200821_England_PHE_BloodDonor_GenPop_Overall_TestPopAdj_Week36","","The United Kingdom",8764,473,"20.08.24.","Euroimmun ; IgG ; ELISA-S",5,NA,NA,"","",""
"193","200821_England_PHE_BloodDonor_GenPop_Overall_TestPopAdj_Week35","","The United Kingdom",8940,510,"20.8.16.","Euroimmun ; IgG ; ELISA-S",5,NA,NA,"","",""
"194","200821_England_PHE_BloodDonor_GenPop_Overall_TestPopAdj_Week34","","The United Kingdom",8538,471,"20.8.7.","Euroimmun ; IgG ; ELISA-S",5,NA,NA,"","",""
"195","200821_England_PHE_BloodDonor_GenPop_Overall_TestPopAdj_Week33","","The United Kingdom",8657,501,"20.8.2.","Euroimmun ; IgG ; ELISA-S",5,NA,NA,"","",""
"196","200821_England_PHE_BloodDonor_GenPop_Overall_TestPopAdj_Week32","","The United Kingdom",9388,545,"20.7.28.","Euroimmun ; IgG ; ELISA-S",5,NA,NA,"","",""
"197","200821_England_PHE_BloodDonor_GenPop_Overall_TestPopAdj_Week31","","The United Kingdom",9220,565,"20.7.20.","Euroimmun ; IgG ; ELISA-S",5,NA,NA,"","",""
